feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT4G33740	2.663482083990261	2.8137918083271662	5.306307619219528	5.409792955220677
AT3G27030	6.322418486806737	6.531939374986421	4.6155938230069715	3.3978964531368305
AT1G15240	0.7253048439844394	2.2585918271205054	3.8630295278322353	3.348818001598826
AT1G42440	0.0	0.0	2.3143281188147413	2.1890716135391926
AT4G32620	1.3615147829475887	1.2415053598554182	2.8756134903817556	3.057712602907495
AT3G17790	6.74818627752448	6.605179044199212	4.3828480526577085	4.237998340252149
AT2G17820	0.6926506283817527	0.48439836687287313	2.821116277900114	2.257122426601979
AT5G58140	2.550433400135173	3.46187292573604	4.809693481030253	5.215536843067351
AT4G36080	0.440810314630285	0.3101640242236579	1.804453452657235	2.1631498511380176
AT5G20320	0.0	0.0	1.6941619948310065	1.0832536553152323
AT3G57020	6.327129320065649	6.251498365289504	3.8153979251859464	4.118029034986425
AT1G30490	1.2497827153185532	0.6480814594761652	3.1795666820212967	3.1077174826219327
AT3G46130	2.3117294728478157	1.4345947942697113	4.676658331972999	4.634273806529094
AT2G32240	2.787507201369609	2.6578834112463325	4.957578077388866	5.187364263027514
AT5G61140	0.0	0.25607907532135293	1.7731061985184033	2.0750808191455636
AT3G18390	4.368899561408135	4.1560668491568915	6.362865478544801	6.49682837100464
AT1G56230	1.7007527166133176	1.5243933547075945	3.224344190026971	3.625759285474793
AT3G11450	2.514697846001659	1.8902008293121446	4.1880474765686255	4.132863636074542
AT3G22760	0.0	0.0	1.8893097840440618	2.2275764366044966
AT2G26580	3.1192968199333193	3.4999388187554694	0.0	0.0
AT1G02930	4.113587108959514	4.160588253804731	6.463910308023885	6.521036989581897
AT5G23240	0.9628724764625726	1.6034055879440319	4.349128823665018	5.041042463035471
AT1G47330	0.0	0.0	2.5878661943441275	3.332586362765206
AT1G70660	5.226235156094138	6.201148900468066	0.0	0.0
AT2G33435	0.0	0.3329607148963898	2.6500479168723055	2.913236724781994
AT2G28490	0.0	0.0	2.432787454587558	2.7288495742988768
AT4G32330	2.7181887502891646	1.952323452981267	4.5512477538400065	4.596886220994244
AT4G26010	6.251414041023686	6.683168915448358	4.412836875201324	4.854940564388716
AT5G55520	0.0	0.0	2.5837059506981994	2.6429714213175233
AT3G63180	1.0903333500095795	1.1499550717416713	2.875493871479474	3.005335544224403
AT4G26190	0.7228925348958176	0.6404577080777073	3.294017700823304	3.6824012277887315
AT5G56360	0.738316104548129	0.0	3.346805704351253	4.53603041484156
AT5G27120	2.0555966417504945	1.798198490620318	3.7854271173473153	4.6319292630447
AT5G52550	2.1467547964560225	1.2208107739059366	4.254760811426508	3.970650074189295
AT1G30840	4.185104395713139	4.389994183654703	2.41253808036899	2.0190614719618107
AT5G44800	1.8438088883900081	1.647740323272022	3.4954421702147593	3.667365522342169
AT4G38120	0.0	0.0	1.9924541239759874	2.722265562976318
AT5G24670	1.978037378895842	1.7123349490127053	4.454472938328205	3.9632756400978444
AT5G40910	1.8812737147739944	1.715923640691759	3.471833292919408	3.5803056994897284
AT1G19835	1.7724908329045967	1.8725431495514802	3.9525347379853333	4.381921064173568
AT5G43150	6.125306975809342	6.0752521072061105	3.5447697556236917	4.302353255789641
AT5G54610	0.0	0.0	2.9182826090497995	2.4839902543665238
AT3G43110	6.4472684970045115	6.386727400601837	3.0464124381885673	3.106794168324662
AT4G21660	2.755486031780846	3.4822277807816104	5.267992928921232	5.570710809517199
AT2G40205	9.94405291138353	9.853063853015469	7.916185607521585	6.526827747894034
AT2G43570	0.0	0.0	3.577749210605606	3.912140653749538
AT2G37080	2.6054254252431512	2.9279350526460464	4.711679683687821	4.774212633986219
AT2G27470	2.5279125717605764	1.8445319996753478	3.9570327003987953	5.719023128894119
